Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.61,0.9099999999999999,0.4357817797475767
100% Corpus,4,0.61,symmetric,0.4190297688759411
100% Corpus,4,0.9099999999999999,0.01,0.43082561183152035
100% Corpus,4,0.9099999999999999,0.31,0.42462372329625553
100% Corpus,4,0.9099999999999999,0.61,0.434078038484389
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.43492391126758423
100% Corpus,4,0.9099999999999999,symmetric,0.4350428144811356
100% Corpus,4,symmetric,0.01,0.4267697887434957
100% Corpus,4,symmetric,0.31,0.44359369625596706
100% Corpus,4,symmetric,0.61,0.4168513075738675
100% Corpus,4,symmetric,0.9099999999999999,0.41327802617739295
100% Corpus,4,symmetric,symmetric,0.44400439662748553
100% Corpus,5,0.01,0.01,0.4285146676379575
100% Corpus,5,0.01,0.31,0.4261255838958052
100% Corpus,5,0.01,0.61,0.4329216662541879
100% Corpus,5,0.01,0.9099999999999999,0.40531854479990564
100% Corpus,5,0.01,symmetric,0.4381239036532584
100% Corpus,5,0.31,0.01,0.430931532873008
100% Corpus,5,0.31,0.31,0.41520712885514044
100% Corpus,5,0.31,0.61,0.443733623742109
100% Corpus,5,0.31,0.9099999999999999,0.42132028638437446
100% Corpus,5,0.31,symmetric,0.42541318672344997
100% Corpus,5,0.61,0.01,0.43296967498075356
100% Corpus,5,0.61,0.31,0.4344070535942174
100% Corpus,5,0.61,0.61,0.4235540062636768
100% Corpus,5,0.61,0.9099999999999999,0.4310067075869427
100% Corpus,5,0.61,symmetric,0.43288476434813117
100% Corpus,5,0.9099999999999999,0.01,0.43365088539046354
100% Corpus,5,0.9099999999999999,0.31,0.43313402304109117
100% Corpus,5,0.9099999999999999,0.61,0.43709348768302514
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.4311297468871695
100% Corpus,5,0.9099999999999999,symmetric,0.4307738341199456
100% Corpus,5,symmetric,0.01,0.43015475715723006
100% Corpus,5,symmetric,0.31,0.4368441438184151
100% Corpus,5,symmetric,0.61,0.3928148757647436
100% Corpus,5,symmetric,0.9099999999999999,0.42273639038583866
100% Corpus,5,symmetric,symmetric,0.43835521179071935
100% Corpus,6,0.01,0.01,0.4287112608342045
100% Corpus,6,0.01,0.31,0.42682001227412686
100% Corpus,6,0.01,0.61,0.4243725276806265
100% Corpus,6,0.01,0.9099999999999999,0.42541292196312114
100% Corpus,6,0.01,symmetric,0.43129878814800704
100% Corpus,6,0.31,0.01,0.4174380749442661
100% Corpus,6,0.31,0.31,0.4051923513983005
100% Corpus,6,0.31,0.61,0.4246865405995788
100% Corpus,6,0.31,0.9099999999999999,0.4123274599264782
100% Corpus,6,0.31,symmetric,0.4177487480721575
100% Corpus,6,0.61,0.01,0.4348330880902991
100% Corpus,6,0.61,0.31,0.43648381683157034
100% Corpus,6,0.61,0.61,0.44008935138007077
100% Corpus,6,0.61,0.9099999999999999,0.4351002265392048
100% Corpus,6,0.61,symmetric,0.429035396750482
100% Corpus,6,0.9099999999999999,0.01,0.4334620948930448
100% Corpus,6,0.9099999999999999,0.31,0.4320102748969425
100% Corpus,6,0.9099999999999999,0.61,0.4379212776698432
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.4391371384975083
100% Corpus,6,0.9099999999999999,symmetric,0.441031077930593
100% Corpus,6,symmetric,0.01,0.4190478202074264
100% Corpus,6,symmetric,0.31,0.3743427242396958
100% Corpus,6,symmetric,0.61,0.43575095478668935
100% Corpus,6,symmetric,0.9099999999999999,0.41917166306554005
100% Corpus,6,symmetric,symmetric,0.41201352395267854
100% Corpus,7,0.01,0.01,0.4190403571604036
100% Corpus,7,0.01,0.31,0.4100030289217038
100% Corpus,7,0.01,0.61,0.39621951800182853
100% Corpus,7,0.01,0.9099999999999999,0.3916473954170477
100% Corpus,7,0.01,symmetric,0.43501338227100367
100% Corpus,7,0.31,0.01,0.41581223923981103
100% Corpus,7,0.31,0.31,0.411779088842822
100% Corpus,7,0.31,0.61,0.39805416712509334
100% Corpus,7,0.31,0.9099999999999999,0.39201645242277466
100% Corpus,7,0.31,symmetric,0.42522991312060265
100% Corpus,7,0.61,0.01,0.4270410803772549
100% Corpus,7,0.61,0.31,0.4288166825919486
100% Corpus,7,0.61,0.61,0.4293362776450261
100% Corpus,7,0.61,0.9099999999999999,0.43656430495169857
100% Corpus,7,0.61,symmetric,0.43011682080818525
100% Corpus,7,0.9099999999999999,0.01,0.43885103703819295
100% Corpus,7,0.9099999999999999,0.31,0.4320654865626508
100% Corpus,7,0.9099999999999999,0.61,0.4276670881838565
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.4288668046403387
100% Corpus,7,0.9099999999999999,symmetric,0.4395313706750143
