Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,asymmetric,0.61,-5.904188102568444
75% Corpus,8,asymmetric,0.9099999999999999,-6.884689991399297
75% Corpus,8,asymmetric,symmetric,-2.645923920912204
75% Corpus,9,0.01,0.01,-2.2968106763353213
75% Corpus,9,0.01,0.31,-2.425067019818224
75% Corpus,9,0.01,0.61,-2.6291372161494717
75% Corpus,9,0.01,0.9099999999999999,-2.593365416014619
75% Corpus,9,0.01,symmetric,-2.247785641488831
75% Corpus,9,0.31,0.01,-2.1031863409903293
75% Corpus,9,0.31,0.31,-2.6721836163484856
75% Corpus,9,0.31,0.61,-3.8383868289552856
75% Corpus,9,0.31,0.9099999999999999,-3.379398788592231
75% Corpus,9,0.31,symmetric,-2.351880269997499
75% Corpus,9,0.61,0.01,-1.9610582687986542
75% Corpus,9,0.61,0.31,-2.1783860674708335
75% Corpus,9,0.61,0.61,-2.133968629657476
75% Corpus,9,0.61,0.9099999999999999,-1.8598951929130625
75% Corpus,9,0.61,symmetric,-1.9131382425390173
75% Corpus,9,0.9099999999999999,0.01,-1.8974102246289553
75% Corpus,9,0.9099999999999999,0.31,-1.8780506049563155
75% Corpus,9,0.9099999999999999,0.61,-1.805179154187662
75% Corpus,9,0.9099999999999999,0.9099999999999999,-1.781548213394068
75% Corpus,9,0.9099999999999999,symmetric,-1.8615694330296888
75% Corpus,9,symmetric,0.01,-2.0296357851380424
75% Corpus,9,symmetric,0.31,-2.235703681470325
75% Corpus,9,symmetric,0.61,-2.8968756425101025
75% Corpus,9,symmetric,0.9099999999999999,-2.960302862199436
75% Corpus,9,symmetric,symmetric,-2.1321580789663575
75% Corpus,9,asymmetric,0.01,-2.114440719672047
75% Corpus,9,asymmetric,0.31,-3.414498721214998
75% Corpus,9,asymmetric,0.61,-6.015123538213119
75% Corpus,9,asymmetric,0.9099999999999999,-5.4475318282688905
75% Corpus,9,asymmetric,symmetric,-2.4460164523033883
100% Corpus,2,0.01,0.01,-1.814903196959007
100% Corpus,2,0.01,0.31,-1.7937676211414817
100% Corpus,2,0.01,0.61,-1.7964635405369243
100% Corpus,2,0.01,0.9099999999999999,-1.784101576198751
100% Corpus,2,0.01,symmetric,-1.79225352664093
